M,Ms,Ps,Da
750,62.604404,0.083473,11755.659235756877
751,62.536385,0.083271,11761.344101539917
752,62.468622,0.08307,11767.015198442861
753,62.401114,0.08287,11772.672506172057
754,62.33386,0.082671,11778.316005436627
755,62.266858,0.082473,11783.945867200791
756,62.200107,0.082275,11789.562075069016
757,62.133607,0.082079,11795.164423820437
758,62.067356,0.081883,11800.753088333071
759,62.001353,0.081688,11806.32805525205
760,61.935596,0.081494,11811.889502954089
761,61.870086,0.081301,11817.437038992144
762,61.804819,0.081109,11822.971226088352
763,61.739797,0.080917,11828.491481968063
764,61.675016,0.080726,11833.998373156479
765,61.610477,0.080537,11839.491509861416
766,61.546178,0.080347,11844.971078373379
767,61.482118,0.080159,11850.437074432393
768,61.418296,0.079972,11855.889494816714
769,61.354711,0.079785,11861.328337345152
770,61.291361,0.079599,11866.753794491597
771,61.228246,0.079414,11872.1656731267
772,61.165365,0.07923,11877.563974203647
773,61.102717,0.079046,11882.948699725182
774,61.040299,0.078863,11888.320242269348
775,60.978112,0.078681,11893.678217566552
776,60.916155,0.0785,11899.022630778394
777,60.854426,0.07832,11904.353683744275
778,60.792924,0.07814,11909.671384599067
779,60.731648,0.077961,11914.975742536777
780,60.670598,0.077783,11920.266571337123
781,60.609771,0.077605,11925.544274983724
782,60.549168,0.077429,11930.808472624523
783,60.488787,0.077253,11936.059374183527
784,60.428627,0.077077,11941.296994177043
785,60.368687,0.076903,11946.521348190345
786,60.308966,0.076729,11951.732452879169
787,60.249463,0.076556,11956.93032597109
788,60.190177,0.076383,11962.114986266914
789,60.131108,0.076212,11967.28625462207
790,60.072253,0.076041,11972.444549746604
791,60.013612,0.075871,11977.589694929988
792,59.955185,0.075701,11982.721513417197
793,59.89697,0.075532,11987.840228695684
794,59.838966,0.075364,11992.945866032522
795,59.781172,0.075196,11998.038451776138
796,59.723587,0.07503,12003.118013357316
797,59.666211,0.074864,12008.184378034082
798,59.609042,0.074698,12013.237776105063
799,59.552079,0.074533,12018.2782382546
800,59.495322,0.074369,12023.305594164536
801,59.438769,0.074206,12028.320078226468
802,59.38242,0.074043,12033.321521744223
803,59.326274,0.073881,12038.309958923051
804,59.270329,0.073719,12043.28562825147
805,59.214585,0.073558,12048.24836347457
806,59.159041,0.073398,12053.19820207046
807,59.103696,0.073239,12058.135182609616
808,59.048549,0.07308,12063.059344755302
809,58.993599,0.072922,12067.97072926399
810,58.938846,0.072764,12072.86917314848
811,58.884288,0.072607,12077.754923644326
812,58.829924,0.072451,12082.628024790714
813,58.775754,0.072295,12087.48831606683
814,58.721776,0.07214,12092.336048811916
815,58.667991,0.071985,12097.170857955654
816,58.614396,0.071831,12101.993203227812
817,58.560991,0.071678,12106.80292740601
818,58.507776,0.071525,12111.599873282661
819,58.454749,0.071373,12116.384298224913
820,58.401909,0.071222,12121.156254229178
821,58.349256,0.071071,12125.915586572886
822,58.296789,0.070921,12130.662348641179
823,58.244507,0.070771,12135.396594918411
824,58.192409,0.070622,12140.11838098792
825,58.140494,0.070473,12144.827763531817
826,58.088761,0.070325,12149.524800330715
827,58.03721,0.070178,12154.209340842453
828,57.98584,0.070031,12158.881444245391
829,57.93465,0.069885,12163.541170817753
830,57.883639,0.069739,12168.188581937182
831,57.832806,0.069594,12172.82374008034
832,57.782151,0.06945,12177.446498074842
833,57.731672,0.069306,12182.05713081316
834,57.681369,0.069162,12186.65549279171
835,57.631242,0.069019,12191.24143855042
836,57.581288,0.068877,12195.815458081199
837,57.531508,0.068735,12200.377196319703
838,57.481901,0.068594,12204.92672185213
839,57.432466,0.068453,12209.464104363666
840,57.383202,0.068313,12213.989414637736
841,57.334108,0.068174,12218.502724555272
842,57.285184,0.068035,12223.003893722765
843,57.236429,0.067896,12227.492995433127
844,57.187842,0.067758,12231.970104076638
845,57.139422,0.067621,12236.435295140038
846,57.091168,0.067484,12240.888645205652
847,57.043081,0.067347,12245.329802614197
848,56.995158,0.067211,12249.759274439562
849,56.9474,0.067076,12254.17671017905
850,56.899805,0.066941,12258.582404686806
851,56.852373,0.066807,12262.976223543199
852,56.805103,0.066673,12267.358248349094
853,56.757994,0.066539,12271.728561798403
854,56.711046,0.066406,12276.087031209658
855,56.664258,0.066274,12280.43374069309
856,56.617629,0.066142,12284.768775450824
857,56.571159,0.066011,12289.092004543223
858,56.524846,0.06588,12293.403732076473
859,56.47869,0.065749,12297.703828781569
860,56.43269,0.065619,12301.992383456534
861,56.386846,0.06549,12306.269267740126
862,56.341157,0.065361,12310.534571846736
863,56.295622,0.065232,12314.788387078288
864,56.250241,0.065104,12319.030586818797
865,56.205012,0.064977,12323.261483042048
866,56.159936,0.06485,12327.480731291904
867,56.11501,0.064723,12331.688865217817
868,56.070236,0.064597,12335.885321518243
869,56.025612,0.064471,12340.070416001847
870,55.981137,0.064346,12344.244246052567
871,55.936811,0.064221,12348.406689378367
872,55.892632,0.064097,12352.558065781224
873,55.848602,0.063973,12356.697812122182
874,55.804717,0.06385,12360.82669237094
875,55.760979,0.063727,12364.944144054898
876,55.717387,0.063604,12369.050268796113
877,55.673939,0.063482,12373.145391537315
878,55.630635,0.063361,12377.229394303853
879,55.587475,0.063239,12381.302159208839
880,55.544457,0.063119,12385.364014417462
881,55.501581,0.062998,12389.414843696202
882,55.458848,0.062879,12393.454307429804
883,55.416255,0.062759,12397.482959979301
884,55.373802,0.06264,12401.50068685137
